src,dst,sent_count,received_count,buffered_count,drop_cos_count,buffered_lowcos_count,sent_bytes,received_bytes,buffered_bytes,dropped_bytes,buffered_lowcos_bytes
S10,S11,5,5,4,1,0,8988,8988,7197,1791,0
S10,S13,82,82,81,1,0,147623,147623,145826,1797,0
S10,S14,35,35,16,19,0,62951,62951,28815,34136,0
S10,S15,3,3,0,3,0,5400,5400,0,5400,0
S10,S17,2,2,1,1,0,3584,3584,1794,1790,0
S10,S2,24,24,1,23,0,43122,43122,1787,41335,0
S10,S3,16,16,9,7,0,28781,28781,16192,12589,0
S10,S4,12,12,12,0,0,21579,21579,21579,0,0
S10,S5,19,19,1,18,0,34096,34096,1782,32314,0
S10,S7,27,27,27,0,0,48572,48572,48572,0,0
S10,S8,26,26,25,1,0,46776,46776,44987,1789,0
S10,S9,14,14,14,0,0,25189,25189,25189,0,0
S11,S10,22,22,15,7,0,39603,39603,27032,12571,0
S11,S13,18,18,0,18,0,32380,32380,0,32380,0
S11,S14,50,50,49,1,0,89896,89896,88095,1801,0
S11,S15,16,16,16,0,0,28798,28798,28798,0,0
S11,S16,17,17,17,0,0,30549,30549,30549,0,0
S11,S17,2,2,1,1,0,3583,3583,1797,1786,0
S11,S2,63,63,63,0,0,113338,113338,113338,0,0
S11,S3,1,1,1,0,0,1805,1805,1805,0,0
S11,S4,30,30,27,3,0,53923,53923,48518,5405,0
S11,S5,1,1,1,0,0,1781,1781,1781,0,0
S11,S6,7,7,6,1,0,12593,12593,10804,1789,0
S11,S7,25,25,0,25,0,44940,44940,0,44940,0
S11,S8,13,13,8,5,0,23379,23379,14404,8975,0
S11,S9,18,18,10,8,0,32350,32350,18001,14349,0
S13,S10,91,91,91,0,0,163737,163737,163737,0,0
S13,S11,1,1,1,0,0,1791,1791,1791,0,0
S13,S14,4,4,3,1,0,7179,7179,5379,1800,0
S13,S15,15,15,14,1,0,26949,26949,25160,1789,0
S13,S16,34,34,32,2,0,61134,61134,57552,3582,0
S13,S17,2,2,2,0,0,3598,3598,3598,0,0
S13,S2,23,23,21,2,0,41385,41385,37786,3599,0
S13,S3,1,1,1,0,0,1794,1794,1794,0,0
S13,S4,14,14,14,0,0,25193,25193,25193,0,0
S13,S5,1,1,0,1,0,1786,1786,0,1786,0
S13,S7,13,13,0,13,0,23415,23415,0,23415,0
S13,S8,3,3,2,1,0,5364,5364,3575,1789,0
S13,S9,24,24,21,3,0,43157,43157,37769,5388,0
S14,S10,7,7,6,1,0,12605,12605,10802,1803,0
S14,S11,45,45,44,1,0,80894,80894,79098,1796,0
S14,S13,18,18,16,2,0,32346,32346,28749,3597,0
S14,S15,28,28,6,22,0,50401,50401,10800,39601,0
S14,S16,29,29,29,0,0,52097,52097,52097,0,0
S14,S17,12,12,12,0,0,21545,21545,21545,0,0
S14,S2,1,1,0,1,0,1788,1788,0,1788,0
S14,S3,5,5,3,2,0,8962,8962,5378,3584,0
S14,S4,20,20,15,5,0,35997,35997,27008,8989,0
S14,S5,7,7,4,3,0,12568,12568,7177,5391,0
S14,S6,24,24,22,2,0,43177,43177,39599,3578,0
S14,S7,7,7,3,4,0,12567,12567,5390,7177,0
S14,S8,30,30,24,6,0,53975,53975,43191,10784,0
S14,S9,4,4,3,1,0,7178,7178,5391,1787,0
S15,S10,10,10,0,10,0,17966,17966,0,17966,0
S15,S11,15,15,1,14,0,26983,26983,1795,25188,0
S15,S13,20,20,20,0,0,35998,35998,35998,0,0
S15,S14,20,20,8,12,0,35973,35973,14390,21583,0
S15,S16,23,23,20,3,0,41391,41391,36013,5378,0
S15,S2,20,20,19,1,0,35994,35994,34210,1784,0
S15,S5,37,37,32,5,0,66577,66577,57602,8975,0
S15,S6,4,4,0,4,0,7189,7189,0,7189,0
S15,S7,60,60,12,48,0,107954,107954,21629,86325,0
S15,S8,3,3,3,0,0,5405,5405,5405,0,0
S15,S9,13,13,0,13,0,23354,23354,0,23354,0
S16,S10,1,1,1,0,0,1788,1788,1788,0,0
S16,S13,1,1,0,1,0,1784,1784,0,1784,0
S16,S14,39,39,35,4,0,70084,70084,62912,7172,0
S16,S15,29,29,14,15,0,52152,52152,25193,26959,0
S16,S17,14,14,13,1,0,25189,25189,23404,1785,0
S16,S4,22,22,22,0,0,39557,39557,39557,0,0
S16,S5,22,22,16,6,0,39557,39557,28767,10790,0
S16,S6,18,18,9,9,0,32327,32327,16152,16175,0
S16,S7,15,15,14,1,0,26956,26956,25164,1792,0
S16,S8,19,19,19,0,0,34181,34181,34181,0,0
S16,S9,2,2,1,1,0,3589,3589,1793,1796,0
S17,S10,2,2,0,2,0,3598,3598,0,3598,0
S17,S13,13,13,8,5,0,23388,23388,14404,8984,0
S17,S14,34,34,27,7,0,61117,61117,48524,12593,0
S17,S15,2,2,0,2,0,3567,3567,0,3567,0
S17,S2,2,2,2,0,0,3592,3592,3592,0,0
S17,S3,31,31,28,3,0,55781,55781,50399,5382,0
S17,S5,7,7,7,0,0,12575,12575,12575,0,0
S17,S6,30,30,28,2,0,53990,53990,50404,3586,0
S17,S7,1,1,1,0,0,1784,1784,1784,0,0
S17,S8,66,66,52,14,0,118735,118735,93560,25175,0
S17,S9,24,24,23,1,0,43194,43194,41401,1793,0
S2,S10,13,13,0,13,0,23322,23322,0,23322,0
S2,S11,48,48,48,0,0,86435,86435,86435,0,0
S2,S13,23,23,6,17,0,41364,41364,10797,30567,0
S2,S15,36,36,36,0,0,64807,64807,64807,0,0
S2,S16,1,1,0,1,0,1786,1786,0,1786,0
S2,S17,17,17,16,1,0,30577,30577,28781,1796,0
S2,S3,6,6,1,5,0,10799,10799,1799,9000,0
S2,S4,29,29,27,2,0,52141,52141,48550,3591,0
S2,S5,27,27,24,3,0,48629,48629,43249,5380,0
S2,S6,14,14,13,1,0,25138,25138,23339,1799,0
S2,S7,1,1,0,1,0,1790,1790,0,1790,0
S2,S8,31,31,31,0,0,55791,55791,55791,0,0
S3,S10,1,1,0,1,0,1792,1792,0,1792,0
S3,S11,13,13,13,0,0,23362,23362,23362,0,0
S3,S14,8,8,8,0,0,14424,14424,14424,0,0
S3,S15,10,10,10,0,0,17958,17958,17958,0,0
S3,S16,2,2,1,1,0,3581,3581,1792,1789,0
S3,S17,18,18,17,1,0,32372,32372,30582,1790,0
S3,S2,18,18,14,4,0,32404,32404,25213,7191,0
S3,S4,16,16,16,0,0,28775,28775,28775,0,0
S3,S5,16,16,7,9,0,28815,28815,12601,16214,0
S3,S6,19,19,18,1,0,34168,34168,32375,1793,0
S3,S7,27,27,27,0,0,48595,48595,48595,0,0
S3,S8,28,28,28,0,0,50331,50331,50331,0,0
S3,S9,29,29,29,0,0,52209,52209,52209,0,0
S4,S10,21,21,20,1,0,37758,37758,35963,1795,0
S4,S11,58,58,44,14,0,104207,104207,79070,25137,0
S4,S13,1,1,1,0,0,1803,1803,1803,0,0
S4,S14,24,24,24,0,0,43115,43115,43115,0,0
S4,S16,5,5,5,0,0,8992,8992,8992,0,0
S4,S17,3,3,0,3,0,5365,5365,0,5365,0
S4,S2,57,57,46,11,0,102531,102531,82751,19780,0
S4,S3,4,4,4,0,0,7211,7211,7211,0,0
S4,S5,9,9,8,1,0,16162,16162,14371,1791,0
S4,S6,2,2,2,0,0,3599,3599,3599,0,0
S4,S7,23,23,22,1,0,41426,41426,39631,1795,0
S4,S8,30,30,30,0,0,53933,53933,53933,0,0
S4,S9,16,16,6,10,0,28803,28803,10799,18004,0
S5,S10,1,1,0,1,0,1798,1798,0,1798,0
S5,S11,15,15,15,0,0,26986,26986,26986,0,0
S5,S14,1,1,1,0,0,1793,1793,1793,0,0
S5,S15,31,31,31,0,0,55795,55795,55795,0,0
S5,S16,59,59,36,23,0,106143,106143,64789,41354,0
S5,S17,4,4,4,0,0,7195,7195,7195,0,0
S5,S2,4,4,2,2,0,7203,7203,3613,3590,0
S5,S3,26,26,16,10,0,46808,46808,28833,17975,0
S5,S4,1,1,0,1,0,1791,1791,0,1791,0
S5,S6,2,2,2,0,0,3590,3590,3590,0,0
S5,S7,1,1,0,1,0,1798,1798,0,1798,0
S5,S8,2,2,0,2,0,3587,3587,0,3587,0
S5,S9,78,78,69,9,0,140235,140235,124068,16167,0
S6,S10,1,1,1,0,0,1791,1791,1791,0,0
S6,S11,34,34,33,1,0,61166,61166,59376,1790,0
S6,S14,13,13,13,0,0,23407,23407,23407,0,0
S6,S15,4,4,0,4,0,7179,7179,0,7179,0
S6,S16,6,6,3,3,0,10776,10776,5393,5383,0
S6,S17,53,53,48,5,0,95397,95397,86420,8977,0
S6,S2,5,5,4,1,0,8994,8994,7196,1798,0
S6,S3,5,5,5,0,0,9004,9004,9004,0,0
S6,S4,8,8,8,0,0,14366,14366,14366,0,0
S6,S5,1,1,1,0,0,1795,1795,1795,0,0
S6,S7,25,25,16,9,0,44942,44942,28781,16161,0
S6,S8,75,75,75,0,0,134849,134849,134849,0,0
S7,S10,19,19,19,0,0,34160,34160,34160,0,0
S7,S11,6,6,1,5,0,10770,10770,1790,8980,0
S7,S13,6,6,3,3,0,10783,10783,5389,5394,0
S7,S14,24,24,23,1,0,43189,43189,41385,1804,0
S7,S15,44,44,1,43,0,79193,79193,1789,77404,0
S7,S16,3,3,3,0,0,5396,5396,5396,0,0
S7,S17,12,12,0,12,0,21579,21579,0,21579,0
S7,S2,2,2,1,1,0,3573,3573,1789,1784,0
S7,S3,34,34,33,1,0,61211,61211,59425,1786,0
S7,S4,43,43,41,2,0,77398,77398,73805,3593,0
S7,S5,1,1,0,1,0,1791,1791,0,1791,0
S7,S6,11,11,3,8,0,19797,19797,5407,14390,0
S7,S8,19,19,15,4,0,34149,34149,26959,7190,0
S7,S9,1,1,1,0,0,1796,1796,1796,0,0
S8,S10,1,1,1,0,0,1801,1801,1801,0,0
S8,S11,4,4,3,1,0,7186,7186,5393,1793,0
S8,S14,1,1,1,0,0,1781,1781,1781,0,0
S8,S15,16,16,14,2,0,28713,28713,25125,3588,0
S8,S16,24,24,24,0,0,43176,43176,43176,0,0
S8,S17,76,76,70,6,0,136855,136855,126072,10783,0
S8,S2,3,3,3,0,0,5366,5366,5366,0,0
S8,S3,51,51,51,0,0,91686,91686,91686,0,0
S8,S5,13,13,0,13,0,23360,23360,0,23360,0
S8,S6,77,77,77,0,0,138513,138513,138513,0,0
S8,S7,16,16,14,2,0,28736,28736,25147,3589,0
S8,S9,17,17,16,1,0,30525,30525,28726,1799,0
S9,S10,2,2,1,1,0,3597,3597,1802,1795,0
S9,S11,6,6,1,5,0,10771,10771,1789,8982,0
S9,S13,19,19,19,0,0,34163,34163,34163,0,0
S9,S14,22,22,12,10,0,39570,39570,21581,17989,0
S9,S15,4,4,0,4,0,7190,7190,0,7190,0
S9,S16,32,32,16,16,0,57515,57515,28733,28782,0
S9,S17,34,33,28,5,0,61226,59424,50426,8998,0
S9,S2,1,1,0,1,0,1796,1796,0,1796,0
S9,S3,35,35,35,0,0,62948,62948,62948,0,0
S9,S4,1,1,0,1,0,1793,1793,0,1793,0
S9,S5,40,40,40,0,0,71898,71898,71898,0,0
S9,S6,2,2,1,1,0,3600,3600,1795,1805,0
S9,S7,12,12,12,0,0,21592,21592,21592,0,0
S9,S8,17,17,16,1,0,30542,30542,28747,1795,0
