mean_ecg,std_ecg,skew_ecg,kurt_ecg,mean_eda,std_eda,skew_eda,kurt_eda,label
-0.002962483,0.330270285,1.334789892,8.496939147,4.427386911,0.034990324,-0.47195934,-1.123767928,0
4.61E-05,0.257126822,3.466652395,14.63532221,4.461292376,0.011123112,-0.302841812,0.755842859,0
-0.003421574,0.269231968,3.603385144,15.46906396,4.455840247,0.014436193,-0.257406592,-0.384669529,0
0.001170443,0.284895663,3.503851764,14.39456566,4.430588586,0.01855784,0.143883152,-0.698018834,0
-0.001179186,0.302247036,3.065310812,11.77488956,4.413465772,0.009818462,0.545365474,1.425565985,0
-0.008111867,0.313428111,2.991798739,11.08686753,4.417401341,0.015497893,1.689585334,3.203970655,0
0.006177096,0.290293314,3.416254011,14.41364792,4.475303214,0.055582282,0.072836523,-1.66157663,0
0.023652472,0.278476682,3.098612974,13.73845802,4.598640006,0.102954033,1.129991433,-0.077155307,0
0.010269967,0.278132247,2.676341832,11.19867666,4.757006454,0.113290264,-0.797861354,-1.057325723,0
-0.018819057,0.275781005,2.974140228,12.9405581,4.841362599,0.016448829,-0.17552385,-0.415786622,0
-0.009604078,0.271465324,3.397016956,16.08822485,4.807171358,0.038294457,-0.200949942,-1.038417449,0
0.003787229,0.253874785,4.046055736,20.7450125,4.742388371,0.03926013,0.198248263,-1.029017395,0
0.000250475,0.251505617,4.284237422,22.05038668,4.679790878,0.034588451,0.040095105,-1.18516213,0
0.004095049,0.25209962,4.271812643,21.6574675,4.630959811,0.024493691,0.329263757,-0.836422732,0
0.000284546,0.252716848,4.244047753,21.52407854,4.592689024,0.023859746,-0.146324432,-0.715105799,0
-0.001857808,0.252165903,4.214112369,21.57179459,4.549581909,0.028352059,0.046564658,-0.988107082,0
0.002659509,0.255579988,4.144534578,21.03945096,4.497663062,0.030933366,0.08236118,-1.410304573,0
0.003538369,0.257863367,4.003169779,20.01835689,4.452948924,0.022829105,-0.32424914,-0.494301876,0
0.000950147,0.254882489,4.024917578,20.14875508,4.415915952,0.025361153,0.333748101,-0.788982304,0
0.001453936,0.243464573,4.277123514,22.73944292,4.378702218,0.020768717,0.026424079,-0.85070593,0
9.43E-05,0.246043574,4.254264812,22.44388994,4.34756328,0.018146234,0.190843076,-0.641397181,0
0.000432024,0.246131034,4.285104877,22.52726691,4.321156148,0.016376423,0.177702776,-0.184095558,0
0.002171866,0.235971743,4.467191944,24.93443707,4.293827711,0.01876269,0.056472312,-0.762995281,0
0.003248062,0.245999337,4.305489746,22.82518522,4.26753224,0.015253993,0.451620835,-0.128567224,0
0.001876654,0.255483163,4.134677442,20.7571768,4.252586692,0.009962709,0.556288814,1.354021548,0
0.001759447,0.24925872,4.30294825,22.19290837,4.243662044,0.011160534,0.529143786,0.565727447,0
0.001774769,0.241443114,4.48029819,23.95210721,4.22922336,0.013342,0.46489005,0.419576439,0
0.000955438,0.246376004,4.280281528,22.10556864,4.222219358,0.009765821,0.871864281,3.0821281,0
0.00080535,0.251460825,4.159490024,21.02717772,4.218188477,0.011486126,0.573744506,1.003902796,0
-0.000149721,0.252987428,4.199263943,21.41347014,4.207669721,0.010021922,0.609336017,1.592136896,0
0.002549149,0.254936064,4.203402906,21.15843829,4.197913633,0.010594905,0.02542157,6.947432179,0
0.002976026,0.243458421,4.374204554,23.20898132,4.186818968,0.010377227,0.402610248,6.625490217,1
0.000566326,0.244405517,4.265201614,22.75538628,4.176883698,0.008953226,0.936325885,2.957853226,1
0.001287552,0.246114021,4.243115216,22.47863068,4.168352345,0.008933443,0.648661179,1.924258023,1
0.001969652,0.233909065,4.522153494,25.22633141,4.162930407,0.008363623,0.29424269,14.42108108,1
0.000616647,0.23452923,4.504722439,25.09660943,4.159328624,0.00875024,0.029073377,13.3359044,1
0.001049803,0.237617551,4.444297243,24.53331174,4.15169645,0.010007987,0.456445358,2.477558109,1
0.002105052,0.237674384,4.44232013,24.46526389,4.141963305,0.009653546,-0.15500006,21.26934567,1
0.000913866,0.247110626,4.286923388,22.35303,4.13325931,0.009182542,-0.173511013,21.16981219,1
0.001468539,0.246019445,4.297529795,22.51028474,4.125043542,0.009253045,0.552004115,6.370789385,1
0.003081573,0.246004154,4.286953436,22.56234063,4.116733715,0.009641992,0.874323138,6.339620407,1
0.00280978,0.247738984,4.287643239,22.43964027,4.107955606,0.009627052,1.104179473,5.071307506,1
0.000659526,0.235779371,4.531785406,25.03077255,4.101681083,0.008558463,1.412711454,6.438871787,1
0.000581988,0.247608748,4.321682221,22.51751675,4.0935912,0.010535569,0.438847803,1.159854346,1
0.00054485,0.24766368,4.345493992,22.70355628,4.082048089,0.010114007,0.799719774,2.869249596,1
0.002329108,0.246747357,4.348626826,22.76812617,4.072480392,0.00922385,1.080310215,4.797950751,1
0.002340768,0.258193228,4.151453668,20.60641004,4.065674973,0.008435774,1.274395956,5.256654978,1
0.000536976,0.247005167,4.372360141,22.92324412,4.058158875,0.009813346,0.732605043,2.330185228,1
0.004694772,0.246190818,4.372147507,22.83301794,4.050674329,0.008862623,1.069752858,3.609026847,1
0.001035945,0.256051364,4.171787169,20.75870597,4.045746504,0.008668206,1.202249698,4.277364924,1
-0.000979928,0.257333501,4.180719515,20.82020102,4.040029526,0.009330338,0.904576492,7.00876395,1
0.001901675,0.246841183,4.416689,23.15629024,4.030598995,0.010823368,0.57013798,3.811906047,1
0.001215559,0.246403267,4.455114338,23.32833792,4.023010908,0.008872216,0.658062753,4.263970712,1
0.003417644,0.248010653,4.391097888,22.73116532,4.024185399,0.009108174,0.647412553,4.009552589,1
0.001274918,0.23690055,4.549752104,24.88042394,4.02572501,0.008447163,1.153463791,6.872804628,1
-0.000378152,0.236782009,4.559751772,25.04581718,4.019794246,0.009663113,0.765339244,3.578676517,1
0.001671733,0.253399653,4.269307643,21.84266753,4.014948055,0.01101946,-0.468567317,31.68331106,1
0.003154443,0.261819096,4.146750744,20.22434187,4.008155005,0.012879933,0.213173198,15.58470188,1
0.000561107,0.233754799,4.654658633,25.67464512,3.999009051,0.008487757,1.30916844,5.852175934,1
0.001051915,0.235433,4.607409152,25.24869499,3.995767375,0.008235444,1.488042267,6.763508459,1
0.0022596,0.247427202,4.405728795,22.81434998,3.992057909,0.008752294,1.065212518,4.32027795,1
0.002734693,0.24618702,4.443647191,23.09195103,3.983876419,0.009789585,0.714390696,1.816372977,1
0.001345603,0.248237709,4.384226483,22.65490481,3.978033338,0.008228389,1.40686741,6.20875886,1
6.23E-05,0.24944312,4.393448148,22.64834264,3.975924192,0.008407464,1.218422674,5.372736017,1
0.001551368,0.247386321,4.478558139,23.19904315,3.970574515,0.008986428,0.691929084,1.77003719,1
0.0008415,0.24695095,4.471665368,23.24212473,3.961108834,0.010258199,0.606356,1.272099835,1
0.00189779,0.246865989,4.421850908,23.00553928,3.953919438,0.008568086,1.186179416,4.870151616,1
