pca_1,pca_2,pca_3,label
0.049105828291600845,0.09586135761056575,-0.4640108811284126,0
0.06557101818243086,0.1424576344293655,-0.3910357522157373,0
0.03666337236929554,0.12305647859129226,-0.2954255115840944,0
-0.05242843861054072,0.05409066376846855,-0.048910472746649614,0
-0.08631101012612871,-0.008877928945619395,-0.16992234804607242,0
-0.1361217177738858,-0.11439491302786231,-0.28000467943539,0
-0.20584055854896102,-0.20453753803278646,-0.2996118301792543,0
-0.2793748269565245,-0.3021572221194031,-0.3474141521349008,0
-0.2924849769976374,-0.314655319396022,-0.3159507995218217,0
-0.28927767391209536,-0.3264016716848083,-0.3243123055709239,0
-0.2860537631434543,-0.319434697607924,-0.31110084193112864,0
-0.28250493244215236,-0.3165727149181652,-0.3221742806600819,0
-0.28364608156556026,-0.31602757473357773,-0.3202091495230389,0
-0.28915439438409907,-0.31034385799704867,-0.3286389539453608,0
-0.2959381373480672,-0.3193159383645846,-0.3295395658059964,0
-0.30803105144926024,-0.3317565795675721,-0.3361886589065979,0
-0.30661526258580396,-0.33092337464710614,-0.3253461292119103,0
-0.30587734805697697,-0.33091602881707843,-0.3461501302801514,0
-0.2795770842632084,-0.30187715754136324,-0.35615376722244274,0
-0.291497551727806,-0.3105000318746503,-0.34720267297058954,0
-0.28881884965463867,-0.3078321649137426,-0.33675905864149164,0
-0.2899192488788582,-0.3089443360985516,-0.34119525090291225,0
-0.3058253059214878,-0.3300841622378966,-0.3410745777133971,0
-0.3524702097745298,-0.38293312621968967,-0.281543479734814,0
-0.3242089411962281,-0.3406111444067237,-0.24762733190184247,0
-0.3196974637715895,-0.36915116153529026,-0.22073635290160165,0
-0.33872715272426646,-0.3949400840197929,-0.2331847147660806,0
-0.34882494441594547,-0.40024447978013467,-0.20490052005881337,0
-0.33747453737063704,-0.39223617864972127,-0.2431320183691856,0
-0.3423466482639693,-0.40037093702794946,-0.2274375730217929,0
-0.32772830075546244,-0.3849540461678228,-0.24773512379675422,0
-0.32621803537667515,-0.38192637311983474,-0.24948814788624585,0
-0.3161556343746005,-0.37296152474570987,-0.26836320657177576,0
-0.32073726756340215,-0.3613295609734812,-0.3001348766865376,0
-0.31889167530631124,-0.3476170415029987,-0.24794137576967548,0
-0.29166384781268284,-0.30428808212770125,-0.19743542778057144,0
-0.24366728679593627,-0.224348220652137,-0.07905563997694007,0
-0.2229976680860726,-0.18209787205269265,0.02770144996397067,0
-0.16882031150741592,-0.14003528366002216,-0.10022522926267821,0
-0.1315025658341715,-0.09451028592865579,-0.1295719832813723,0
