pca_1,pca_2,pca_3,pca_4,label
-0.4181302242427983,-0.06376164912609744,-0.20452593963692378,0.05935455776423826,0
-0.4302031000936619,-0.06737304441680803,-0.21963866524959352,0.0606690357352665,0
-0.40053552696213796,-0.0832449758571489,-0.20160324529764273,0.0597836899577725,0
-0.4161531595210571,-0.08110517968921072,-0.2468778285156224,0.07016934968994226,0
-0.40210344954624366,-0.044979282443436075,-0.18596750974654652,0.07900994124035565,0
-0.3967743266451722,-0.018969009910169532,-0.1664876413737344,0.03207321262094076,0
-0.4042340573281906,0.05881169962578919,-0.16759282743966286,0.030293600918081198,0
-0.4126619732865912,0.09543465511031876,-0.18166513418764108,0.018049932405468594,0
-0.4124696293976082,0.06528168927376499,-0.19563010243452744,0.042718157670500245,0
-0.39935402756604055,0.05106267613476986,-0.163862905546922,0.02393887795416383,0
-0.37864148769266803,-0.0077752474122972925,-0.0510741531253916,-0.008684611394584096,0
-0.37438682298148973,-0.036648912402047096,-0.05378499671551447,-0.013701763251085353,0
-0.37370888949058884,-0.06589475307913256,-0.06044393903444688,-0.012081043310322837,0
-0.3723519217084242,-0.08713313649443388,-0.06665093304304165,0.004256826808293868,0
-0.3453259575090397,-0.01844624038636422,-0.04396473393005128,-0.05345720876288457,0
-0.3262486571297003,-0.10009811920244532,-0.017289354924849842,-0.03493733504967833,0
-0.3214673483655258,-0.11993093721709941,-0.010011736046722758,0.0021202144948395674,0
-0.32750756460309693,-0.07350373725109222,-0.0053880464838056,-0.044527414606595095,0
-0.32545412974447446,-0.10097010637194404,-0.008049267904025097,-0.020700863129973157,0
-0.32617501830739093,-0.06473371743564765,-0.0038007744807122823,-0.0342691920959331,0
-0.3370754981963103,-0.048691210698000364,-0.029468597816027925,-0.04007399990206767,0
-0.33763744800666157,-0.04427271906432273,-0.02999248445307301,-0.036684670161486244,0
-0.35045630096151453,-0.04918111472119496,-0.06833369371379072,-0.03221893108731444,0
-0.3517876895602853,-0.09306934930790767,-0.08532978072562257,-0.00015358438476686942,0
-0.36726098418158115,-0.13911240815787201,-0.13850707421059683,0.02734701813514484,0
-0.3788379561684436,-0.17007976655275564,-0.17543317498488853,0.0525559382034827,0
-0.36217100029434146,-0.1621399189269483,-0.12495260647701577,0.03310760784438316,0
-0.3527678473921343,-0.12138374545919606,-0.09046820435764487,0.0004009457741566136,0
