pca_1,pca_2,pca_3,pca_4,label
-0.12048293247051611,-0.42358638810766364,-0.07900671516086227,-0.03428917690763805,0
-0.11556631270804762,-0.4183586018872262,-0.08240644593782198,-0.022829621772785025,0
0.00948465108629426,-0.27653339077456535,-0.06690041303608724,-0.009706403151172188,0
0.0955055596321093,-0.1780070926836863,-0.07828034685421253,0.1303136272981914,0
-0.06681463708955909,-0.35171464507670075,-0.10245698953960941,0.00600409776148858,0
0.08135103188710449,-0.22423475560452938,-0.045788541174138164,-0.054018855912799646,0
0.2846445198385006,0.0006622806806017012,-0.014406330018983116,0.14931887380748482,0
0.3424004073507966,0.053455374947416034,0.011378163934087415,0.07892765161599175,0
0.10141295918627136,-0.17164973451777593,-0.06484240879332409,0.10262554134230578,0
-0.022306896399386822,-0.2962420177215757,-0.09324341950718468,0.039736034008104826,0
-0.032696287168792304,-0.31638101255617707,-0.09763360773844709,0.061437058007643375,0
-0.06949078883997178,-0.35465827518249693,-0.11250744445846933,0.058871046062018706,0
0.005371006481771579,-0.28099968768724165,-0.10294554513587006,0.06811555004214898,0
-0.03380736049165961,-0.31411362069572385,-0.11639879261096375,0.10063560783741127,0
-0.008255734509486135,-0.2871367132922879,-0.11126532087931057,0.08946286570918183,0
-0.01936178612334777,-0.29058914702414024,-0.1210210743405728,0.1567924985413211,0
-0.04934487852000108,-0.32269804048694917,-0.12803112722074184,0.15991662217664826,0
-0.02858633843807773,-0.30829907243874033,-0.11059921451476024,0.06582595627855026,0
-0.03169227010435205,-0.315018088695128,-0.11184572985130725,0.08070004289555505,0
-0.049135255389736676,-0.32442784322926993,-0.12064356700170731,0.12293271589179977,0
-0.009121250441958662,-0.2835514485476633,-0.11380965748784205,0.12357729066769108,0
0.01354930750282074,-0.25933752179355524,-0.11407423164455477,0.13065253856723225,0
0.019938101472742664,-0.2338835671454998,-0.11606059605397356,0.13358868488569098,0
0.03798342882230599,-0.22277140199359247,-0.09986305033445197,0.07029997533939036,0
