src,dst,accepted_count,dropped_in_agg_count
S10,S11,1,0
S10,S13,17,0
S10,S14,25,0
S10,S15,8,0
S10,S3,17,0
S10,S4,19,0
S10,S5,23,0
S10,S6,2,0
S10,S7,27,0
S10,S8,1,0
S10,S9,8,0
S11,S14,11,0
S11,S15,15,0
S11,S17,1,0
S11,S2,20,0
S11,S4,15,0
S11,S5,4,0
S11,S6,3,0
S11,S7,8,0
S11,S8,2,0
S11,S9,32,0
S13,S10,25,0
S13,S14,6,0
S13,S15,13,0
S13,S16,6,0
S13,S17,3,0
S13,S6,1,0
S13,S7,11,0
S13,S9,16,0
S14,S10,5,0
S14,S11,17,0
S14,S13,17,0
S14,S15,27,0
S14,S16,15,0
S14,S17,1,0
S14,S4,9,0
S14,S5,16,0
S14,S7,22,0
S14,S8,17,0
S14,S9,2,0
S15,S10,11,0
S15,S14,41,0
S15,S16,24,0
S15,S17,1,0
S15,S2,8,0
S15,S5,28,0
S15,S6,3,0
S15,S7,23,0
S15,S8,2,0
S15,S9,14,0
S16,S10,1,0
S16,S14,31,0
S16,S15,11,0
S16,S17,20,0
S16,S4,34,0
S16,S5,12,0
S16,S6,19,0
S16,S7,16,0
S16,S8,20,0
S17,S10,1,0
S17,S13,12,0
S17,S14,10,0
S17,S16,12,0
S17,S3,11,0
S17,S4,2,0
S17,S5,15,0
S17,S6,8,0
S17,S8,3,0
S17,S9,24,0
S2,S11,2,0
S2,S13,13,0
S2,S3,19,0
S2,S4,1,0
S2,S5,37,0
S2,S6,16,0
S2,S7,1,0
S2,S8,16,0
S2,S9,1,0
S3,S10,12,0
S3,S11,14,0
S3,S14,16,0
S3,S15,14,0
S3,S17,12,0
S3,S2,25,0
S3,S5,19,0
S3,S6,13,0
S3,S7,12,0
S4,S11,29,0
S4,S13,1,0
S4,S14,20,0
S4,S16,8,0
S4,S2,1,0
S4,S5,19,0
S4,S6,3,0
S4,S7,4,0
S4,S8,12,0
S4,S9,8,0
S5,S10,1,0
S5,S11,15,0
S5,S15,16,0
S5,S16,46,0
S5,S17,2,0
S5,S2,8,0
S5,S3,27,0
S5,S4,2,0
S5,S6,2,0
S5,S8,3,0
S5,S9,55,0
S6,S11,17,0
S6,S15,19,0
S6,S16,5,0
S6,S17,27,0
S6,S2,1,0
S6,S3,6,0
S6,S4,12,0
S6,S7,29,0
S6,S8,13,0
S6,S9,1,0
S7,S10,2,0
S7,S13,1,0
S7,S14,15,0
S7,S15,24,0
S7,S16,3,0
S7,S17,10,0
S7,S2,3,0
S7,S3,13,0
S7,S4,15,0
S7,S5,2,0
S7,S6,21,0
S7,S8,14,0
S8,S13,1,0
S8,S14,1,0
S8,S15,16,0
S8,S16,19,0
S8,S17,29,0
S8,S2,4,0
S8,S5,14,0
S8,S6,32,0
S8,S7,6,0
S8,S9,14,0
S9,S13,12,0
S9,S14,25,0
S9,S15,4,0
S9,S16,25,0
S9,S17,32,0
S9,S3,17,0
S9,S5,17,0
S9,S6,1,0
S9,S7,16,0
S9,S8,13,0
