src,dst,accepted_count,dropped_in_agg_count
S10,S11,1,0
S10,S13,1,0
S10,S14,16,0
S10,S15,2,0
S10,S3,11,0
S10,S4,2,0
S10,S5,20,0
S10,S7,21,0
S10,S8,12,0
S10,S9,11,0
S11,S10,8,0
S11,S13,7,0
S11,S14,4,0
S11,S15,5,0
S11,S2,6,0
S11,S3,3,0
S11,S4,3,0
S11,S6,6,0
S11,S7,7,0
S11,S8,7,0
S11,S9,10,0
S13,S10,2,0
S13,S15,12,0
S13,S4,5,0
S13,S7,9,0
S13,S9,8,0
S15,S10,13,0
S15,S11,19,0
S15,S14,1,0
S15,S16,9,0
S15,S2,3,0
S15,S5,14,0
S15,S7,14,0
S15,S8,2,0
S17,S14,20,0
S17,S3,34,0
S17,S5,21,0
S17,S6,2,0
S17,S8,25,0
S17,S9,18,0
S2,S10,6,0
S2,S11,1,0
S2,S13,10,0
S2,S15,8,0
S2,S3,12,0
S2,S4,3,0
S2,S5,20,0
S2,S6,12,0
S2,S8,6,0
S3,S11,10,0
S3,S14,5,0
S3,S17,12,0
S3,S2,10,0
S3,S5,6,0
S3,S6,7,0
S3,S8,2,0
S3,S9,4,0
S4,S10,8,0
S4,S11,22,0
S4,S14,19,0
S4,S2,5,0
S4,S6,1,0
S4,S8,16,0
S4,S9,12,0
S5,S10,1,0
S5,S11,10,0
S5,S15,1,0
S5,S16,30,0
S5,S17,5,0
S5,S2,4,0
S5,S3,19,0
S5,S8,1,0
S5,S9,11,0
S7,S10,18,0
S7,S11,3,0
S7,S13,4,0
S7,S14,11,0
S7,S15,9,0
S7,S6,20,0
S8,S15,11,0
S8,S16,4,0
S8,S17,14,0
S8,S3,15,0
S8,S5,1,0
S8,S9,5,0
S9,S10,2,0
S9,S13,6,0
S9,S14,10,0
S9,S16,4,0
S9,S17,8,0
S9,S3,5,0
